Blocks/SM, Size, Time Tensor, Time cuFFTDx
32,256,8.78899,8.80742
36,256,10.965,9.76077
40,256,12.0381,10.878
44,256,13.1635,11.9491
48,256,14.209,13.0068
52,256,15.3098,14.0206
56,256,16.386,15.1081
60,256,17.4653,16.1239
64,256,18.5508,17.2114
68,256,19.625,18.217
72,256,20.7309,19.3382
76,256,21.7805,20.3448
80,256,22.8895,21.4262
84,256,23.9247,22.4502
88,256,25.0542,23.5223
92,256,26.0977,24.6016
96,256,27.2097,25.6061
100,256,28.2706,26.668
104,256,29.3693,27.7135
108,256,30.4374,28.7785
112,256,31.5218,29.8578
116,256,32.6093,30.8654
120,256,33.6927,31.9293
124,256,34.7433,33.0353
128,256,35.8513,34.0664
132,256,36.8947,35.1662
136,256,38.0201,36.182
140,256,39.0953,37.2439
144,256,40.1725,38.2403
148,256,41.2447,39.3206
152,256,42.3598,40.3804
156,256,43.3889,41.428
160,256,44.5092,42.4581
164,256,45.5711,43.5098
168,256,46.6924,44.6239
172,256,47.7389,45.653
176,256,48.8694,46.7241
180,256,49.8555,47.7542
184,256,51.0669,48.8182
188,256,52.0499,49.8637
192,256,53.1702,50.9727
196,256,54.2228,51.966
200,256,55.3267,52.9992
204,256,56.3558,54.0733
208,256,57.5058,55.1793
212,256,58.5329,56.1459
216,256,59.6879,57.2774
220,256,60.6761,58.2748
224,256,61.8076,59.3224
228,256,62.8224,60.501
232,256,64.0266,61.4707
236,256,64.9871,62.5295
240,256,66.133,63.5208
244,256,67.1437,64.5724
248,256,68.2455,65.7142
252,256,69.3166,66.7413
256,256,70.4235,67.7775
4,512,7.02054,2.77504
8,512,13.9786,4.6633
12,512,20.8742,6.98368
16,512,27.7432,9.0665
20,512,34.5917,11.2108
24,512,41.4618,13.4011
28,512,48.3236,15.5884
32,512,55.1629,17.7469
36,512,61.9991,19.8902
40,512,68.8466,22.0088
44,512,75.648,24.2289
48,512,82.5016,26.3905
52,512,89.3327,28.4979
56,512,96.1495,30.718
60,512,103.047,32.894
64,512,109.807,35.0085
68,512,116.749,37.1988
72,512,123.6,39.337
76,512,130.43,41.5232
80,512,137.183,43.6787
84,512,144.109,45.8209
88,512,150.996,47.9846
92,512,157.831,50.1832
96,512,164.671,52.3162
100,512,171.526,54.5085
104,512,178.358,56.6794
108,512,185.268,58.794
112,512,192.007,60.9362
116,512,198.795,63.1357
120,512,205.647,65.322
124,512,212.589,67.457
128,512,219.351,69.6781
132,512,226.232,71.808
136,512,233.057,73.9308
140,512,239.838,76.1487
144,512,246.717,78.3165
148,512,253.518,80.4106
152,512,260.357,82.5713
156,512,267.143,84.7268
160,512,274.067,86.8628
164,512,280.938,89.0696
168,512,287.813,91.222
172,512,294.535,93.3714
176,512,301.356,95.4931
180,512,308.261,97.708
184,512,315.059,99.9127
188,512,321.804,102.049
192,512,328.709,104.16
196,512,335.551,106.399
200,512,342.475,108.611
204,512,349.305,110.663
208,512,356.07,112.959
212,512,363.17,115.11
216,512,369.84,117.271
220,512,376.797,119.39
224,512,383.536,121.478
228,512,390.401,123.582
232,512,397.191,125.914
236,512,404.115,128.11
240,512,410.964,130.246
244,512,417.81,132.351
248,512,424.65,134.566
252,512,431.388,136.621
256,512,438.218,138.748
