Blocks/SM, Size, Time Tensor, Time cuFFTDx
32,256,7.10144,8.82278
36,256,8.81664,9.83552
40,256,8.84634,10.8923
44,256,10.581,11.9378
48,256,10.6107,12.9864
52,256,12.3259,14.0298
56,256,12.372,15.0702
60,256,14.0728,16.1004
64,256,14.1292,17.1284
68,256,15.8085,18.176
72,256,15.874,19.2358
76,256,17.5677,20.2752
80,256,17.6333,21.3166
84,256,19.3157,22.3447
88,256,19.3966,23.3902
92,256,21.0729,24.45
96,256,21.1548,25.4863
100,256,22.8291,26.5431
104,256,22.8864,27.5773
108,256,24.5729,28.5921
112,256,24.6548,29.6428
116,256,26.3127,30.6831
120,256,26.4151,31.745
124,256,28.076,32.768
128,256,28.1774,33.8268
132,256,29.8281,34.8406
136,256,29.9325,35.1549
140,256,31.575,36.9562
144,256,31.7123,37.9709
148,256,33.3271,39.0605
152,256,33.4428,40.0753
156,256,35.0761,41.1238
160,256,35.201,42.1827
164,256,36.8148,43.2128
168,256,36.9603,44.1006
172,256,38.5741,45.3161
176,256,38.7144,46.3411
180,256,40.32,47.3446
184,256,40.4664,48.3901
188,256,42.0669,49.4244
192,256,42.2328,50.4719
196,256,43.8282,51.5482
200,256,43.9695,52.5629
204,256,45.5823,53.6136
208,256,45.7452,54.6458
212,256,47.3293,55.7046
216,256,47.5034,56.7173
220,256,49.0588,57.8304
224,256,49.2401,58.8093
228,256,50.8262,59.9306
232,256,51.0382,60.9638
236,256,52.5824,62.0022
240,256,52.78,63.0159
244,256,54.3386,64.0471
248,256,54.5546,65.1315
252,256,56.0783,66.178
256,256,56.3169,67.1908
